[12:04:36 - main] [Cooja.java:1317] [INFO] - > Starting Cooja
[12:04:36 - main] [Cooja.java:2858] [INFO] - External tools default settings: /external_tools_linux_64.config
[12:04:36 - main] [Cooja.java:2888] [INFO] - External tools user settings: /home/michele/.cooja.user.properties
[12:04:36 - main] [Simulation.java:422] [INFO] - Simulation random seed: -5200831844469048180
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:36 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/michele/Documents/LowPoweredProject/lpwsn/app/app.sky
[12:04:37 - main] [Visualizer.java:256] [INFO] - Registered external visualizer: org.contikios.cooja.plugins.skins.DGRMVisualizerSkin
[12:04:37 - main] [TimeLine.java:567] [INFO] - Zoom level: 1000.0 microseconds/pixel 
[12:04:38 - main] [ScriptRunner.java:430] [INFO] - Test script deactivated
[12:04:38 - main] [LogScriptEngine.java:265] [INFO] - Script timeout in 180000 ms
[12:04:38 - main] [ScriptRunner.java:387] [INFO] - Test script activated
[12:04:39 - Thread-2] [Simulation.java:253] [INFO] - Simulation main loop started, system time: 1580727879711
[12:04:46 - Thread-2] [Simulation.java:312] [INFO] - Simulation main loop stopped, system time: 1580727886088	Duration: 6377 ms	Simulated time 3580 ms	Ratio 0.5613925043123726
